"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 28, 2021","1,383.77","1,391.44","1,393.38","1,379.13","1.87B","-0.57%"
"Sep 27, 2021","1,391.74","1,393.19","1,397.71","1,380.81","1.68B","0.51%"
"Sep 24, 2021","1,384.68","1,397.36","1,397.36","1,376.01","2.03B","-1.20%"
"Sep 23, 2021","1,401.46","1,409.28","1,417.45","1,394.35","2.68B","-0.43%"
"Sep 22, 2021","1,407.46","1,393.25","1,407.46","1,385.48","1.50B","1.58%"
"Sep 21, 2021","1,385.61","1,400.84","1,403.76","1,383.35","1.70B","-0.45%"
"Sep 20, 2021","1,391.91","1,407.67","1,407.67","1,386.33","1.74B","-1.94%"
"Sep 17, 2021","1,419.43","1,424.04","1,427.07","1,412.23","1.54B","0.10%"
"Sep 16, 2021","1,418.03","1,423.95","1,434.74","1,412.78","1.54B","-0.42%"
"Sep 15, 2021","1,423.97","1,433.86","1,440.90","1,420.38","1.61B","-0.73%"
"Sep 14, 2021","1,434.43","1,440.67","1,443.50","1,428.96","1.74B","-0.27%"
"Sep 13, 2021","1,438.28","1,439.75","1,447.96","1,433.75","1.60B","-0.03%"
"Sep 10, 2021","1,438.72","1,455.46","1,457.10","1,437.62","1.51B","-0.96%"
"Sep 09, 2021","1,452.67","1,430.98","1,452.67","1,427.77","1.69B","1.31%"
"Sep 08, 2021","1,433.85","1,454.83","1,457.27","1,432.54","1.95B","-1.44%"
"Sep 07, 2021","1,454.74","1,474.21","1,476.33","1,454.74","1.85B","-1.35%"
"Sep 06, 2021","1,474.72","1,469.75","1,478.73","1,469.75","1.70B","0.41%"
"Sep 03, 2021","1,468.67","1,480.35","1,482.11","1,464.80","1.77B","-0.71%"
"Sep 02, 2021","1,479.12","1,474.85","1,484.95","1,472.05","1.53B","0.34%"
"Sep 01, 2021","1,474.13","1,475.62","1,478.96","1,468.42","1.66B","0.14%"
"Aug 31, 2021","1,472.07","1,467.18","1,474.47","1,463.01","1.89B","0.95%"
"Aug 27, 2021","1,458.23","1,450.87","1,458.23","1,444.11","1.59B","0.67%"
"Aug 26, 2021","1,448.52","1,456.00","1,463.79","1,445.17","1.71B","-0.33%"
"Aug 25, 2021","1,453.30","1,465.28","1,471.43","1,451.92","1.86B","-0.86%"
"Aug 24, 2021","1,465.89","1,465.18","1,472.46","1,463.91","1.66B","0.45%"
"Aug 23, 2021","1,459.33","1,454.91","1,463.07","1,453.68","1.72B","1.02%"
"Aug 20, 2021","1,444.63","1,439.62","1,449.27","1,432.40","1.63B","0.33%"
"Aug 19, 2021","1,439.86","1,441.38","1,445.74","1,433.85","1.74B","-0.67%"
"Aug 18, 2021","1,449.59","1,465.81","1,467.16","1,448.48","2.13B","-0.83%"
"Aug 17, 2021","1,461.69","1,454.14","1,461.69","1,449.58","1.88B","0.44%"
"Aug 16, 2021","1,455.25","1,451.33","1,461.96","1,451.33","2.05B","0.53%"
"Aug 13, 2021","1,447.64","1,444.82","1,449.25","1,440.09","1.39B","0.22%"
"Aug 12, 2021","1,444.46","1,419.69","1,447.63","1,419.69","2.03B","2.38%"
"Aug 11, 2021","1,410.87","1,438.92","1,439.48","1,409.81","2.14B","-1.85%"
"Aug 10, 2021","1,437.46","1,429.51","1,441.81","1,426.47","1.93B","0.34%"
"Aug 09, 2021","1,432.61","1,436.85","1,443.29","1,431.75","1.85B","-0.15%"
"Aug 06, 2021","1,434.76","1,433.60","1,440.53","1,425.06","1.87B","0.21%"
"Aug 05, 2021","1,431.78","1,409.05","1,431.78","1,407.56","2.07B","1.27%"
"Aug 04, 2021","1,413.80","1,411.90","1,422.34","1,411.90","1.99B","0.35%"
"Aug 03, 2021","1,408.81","1,402.26","1,409.36","1,394.27","2.33B","0.65%"
"Aug 02, 2021","1,399.65","1,397.98","1,405.63","1,394.66","2.22B","0.48%"
"Jul 30, 2021","1,392.91","1,383.25","1,392.91","1,380.02","1.84B","0.09%"
"Jul 29, 2021","1,391.64","1,370.52","1,393.37","1,370.52","1.63B","2.27%"
"Jul 28, 2021","1,360.75","1,358.79","1,367.63","1,355.23","1.41B","0.09%"
"Jul 27, 2021","1,359.55","1,348.08","1,360.50","1,341.93","1.49B","0.77%"
"Jul 26, 2021","1,349.11","1,355.54","1,362.57","1,345.52","1.48B","-0.18%"
"Jul 19, 2021","1,351.59","1,357.93","1,357.93","1,348.39","498.07M","-0.86%"
"Jul 16, 2021","1,363.28","1,370.32","1,373.63","1,356.95","999.35M","-0.29%"
"Jul 14, 2021","1,367.25","1,349.22","1,368.98","1,349.22","1.15B","1.52%"
"Jul 13, 2021","1,346.84","1,358.27","1,360.14","1,341.52","1.38B","-0.75%"
"Jul 12, 2021","1,356.96","1,378.63","1,382.45","1,355.23","1.64B","-1.55%"
"Jul 09, 2021","1,378.28","1,374.44","1,381.74","1,371.53","1.46B","0.39%"
"Jul 08, 2021","1,372.98","1,387.74","1,390.89","1,372.54","1.55B","-1.27%"
"Jul 07, 2021","1,390.58","1,384.57","1,392.84","1,383.97","1.55B","0.58%"
"Jul 06, 2021","1,382.58","1,394.72","1,399.90","1,382.58","1.79B","-0.72%"
"Jul 05, 2021","1,392.64","1,375.97","1,392.64","1,375.72","1.34B","1.16%"
"Jul 02, 2021","1,376.67","1,376.88","1,379.79","1,367.68","1.31B","0.28%"
"Jul 01, 2021","1,372.78","1,358.20","1,372.78","1,358.20","1.35B","1.21%"
"Jun 30, 2021","1,356.34","1,374.94","1,376.71","1,352.23","1.85B","-1.12%"
"Jun 29, 2021","1,371.67","1,371.96","1,374.74","1,351.64","1.95B","-0.12%"
"Jun 28, 2021","1,373.25","1,395.16","1,397.55","1,368.24","2.04B","-1.34%"
"Jun 25, 2021","1,391.86","1,413.99","1,414.88","1,391.69","1.50B","-1.34%"
"Jun 24, 2021","1,410.79","1,405.26","1,416.14","1,405.17","1.77B","0.60%"
"Jun 23, 2021","1,402.35","1,415.44","1,419.77","1,401.32","2.10B","-0.53%"
"Jun 22, 2021","1,409.85","1,402.88","1,411.44","1,394.25","1.75B","0.81%"
"Jun 21, 2021","1,398.52","1,388.20","1,398.52","1,378.34","1.86B","0.54%"
"Jun 18, 2021","1,391.06","1,417.95","1,422.29","1,388.71","2.10B","-1.63%"
"Jun 17, 2021","1,414.15","1,423.00","1,429.23","1,413.58","2.11B","-1.20%"
"Jun 16, 2021","1,431.31","1,441.36","1,444.79","1,431.31","1.74B","-0.78%"
"Jun 15, 2021","1,442.56","1,451.06","1,456.56","1,431.70","2.81B","-0.80%"
"Jun 14, 2021","1,454.25","1,466.57","1,468.95","1,450.67","1.85B","-0.45%"
"Jun 11, 2021","1,460.86","1,461.22","1,464.49","1,455.39","2.23B","0.29%"
"Jun 10, 2021","1,456.68","1,453.24","1,461.97","1,449.64","2.40B","0.52%"
"Jun 09, 2021","1,449.17","1,449.85","1,453.36","1,445.69","2.04B","0.11%"
"Jun 08, 2021","1,447.59","1,447.49","1,453.90","1,443.39","1.95B","0.04%"
"Jun 07, 2021","1,447.08","1,433.96","1,450.55","1,432.64","1.97B","0.99%"
"Jun 04, 2021","1,432.93","1,428.91","1,435.24","1,427.40","1.87B","0.34%"
"Jun 03, 2021","1,428.13","1,434.72","1,441.15","1,411.52","2.64B","-0.18%"
"Jun 02, 2021","1,430.73","1,420.40","1,434.79","1,418.77","2.23B","-0.09%"
"Jun 01, 2021","1,432.04","1,424.47","1,433.55","1,423.00","2.08B","0.81%"
"May 31, 2021","1,420.49","1,423.09","1,427.44","1,414.32","2.04B","-0.11%"
"May 28, 2021","1,422.06","1,413.12","1,422.80","1,401.25","2.10B","0.50%"
"May 27, 2021","1,415.03","1,426.55","1,428.87","1,411.46","2.54B","-0.84%"
"May 26, 2021","1,427.06","1,413.12","1,427.06","1,392.87","2.65B","1.92%"
"May 25, 2021","1,400.22","1,457.48","1,459.26","1,400.22","3.34B","-3.58%"
"May 24, 2021","1,452.18","1,453.69","1,457.77","1,441.70","2.02B","0.02%"
"May 21, 2021","1,451.84","1,456.44","1,462.28","1,449.28","1.97B","0.14%"
"May 20, 2021","1,449.82","1,451.87","1,454.81","1,439.36","2.33B","-0.67%"
"May 18, 2021","1,459.57","1,461.15","1,465.56","1,459.57","2.16B","0.37%"
"May 17, 2021","1,454.25","1,446.96","1,455.48","1,445.61","1.99B","0.90%"
"May 12, 2021","1,441.33","1,441.41","1,444.98","1,437.66","922.31M","-0.25%"
"May 11, 2021","1,444.87","1,447.96","1,455.89","1,438.38","2.48B","-1.10%"
"May 10, 2021","1,460.90","1,448.99","1,462.47","1,447.91","2.49B","1.36%"
"May 07, 2021","1,441.33","1,432.25","1,444.79","1,423.39","4.00B","0.95%"
"May 06, 2021","1,427.73","1,422.56","1,434.72","1,422.56","2.29B","0.54%"
"May 05, 2021","1,420.00","1,419.58","1,425.04","1,409.33","1.79B","0.26%"
"May 04, 2021","1,416.25","1,423.21","1,428.07","1,411.00","2.28B","-0.34%"
"May 03, 2021","1,421.15","1,400.15","1,421.15","1,400.15","1.95B","1.67%"
"Apr 30, 2021","1,397.82","1,399.05","1,405.91","1,396.49","1.84B","-0.26%"
"Apr 29, 2021","1,401.52","1,390.92","1,406.51","1,390.92","1.55B","1.13%"
"Apr 28, 2021","1,385.91","1,391.47","1,394.64","1,379.93","1.69B","-0.44%"
"Apr 27, 2021","1,392.00","1,381.73","1,397.61","1,381.73","1.87B","1.31%"
"Apr 26, 2021","1,374.00","1,343.85","1,374.00","1,343.58","1.95B","2.14%"
"Apr 22, 2021","1,345.15","1,320.16","1,345.50","1,309.23","2.09B","1.10%"
"Apr 21, 2021","1,330.48","1,363.87","1,365.50","1,308.52","2.31B","-2.55%"
"Apr 20, 2021","1,365.27","1,376.37","1,385.88","1,357.26","2.56B","-0.87%"
"Apr 19, 2021","1,377.23","1,409.85","1,416.03","1,377.23","2.49B","-2.20%"
"Apr 16, 2021","1,408.14","1,405.50","1,412.56","1,400.49","2.32B","0.03%"
"Apr 15, 2021","1,407.76","1,409.76","1,418.52","1,398.28","4.19B","-0.10%"
"Apr 14, 2021","1,409.19","1,380.71","1,409.19","1,380.71","2.63B","2.24%"
"Apr 13, 2021","1,378.37","1,380.11","1,386.36","1,352.74","2.86B","0.18%"
"Apr 12, 2021","1,375.91","1,393.47","1,398.12","1,374.67","2.30B","-1.24%"
"Apr 09, 2021","1,393.24","1,413.18","1,414.95","1,373.65","2.87B","-1.65%"
"Apr 08, 2021","1,416.55","1,422.22","1,430.34","1,415.06","2.10B","-0.09%"
"Apr 07, 2021","1,417.89","1,420.94","1,422.48","1,402.36","2.78B","-0.19%"
"Apr 06, 2021","1,420.59","1,442.88","1,445.13","1,419.66","2.65B","-1.49%"
"Apr 05, 2021","1,442.06","1,428.99","1,443.02","1,428.88","2.56B","0.83%"
"Apr 02, 2021","1,430.19","1,434.91","1,438.88","1,423.51","2.19B","0.25%"
"Apr 01, 2021","1,426.56","1,399.34","1,426.56","1,399.34","3.17B","2.50%"
"Mar 31, 2021","1,391.73","1,397.47","1,403.75","1,389.86","2.34B","-0.29%"
"Mar 30, 2021","1,395.79","1,392.84","1,400.77","1,371.43","3.35B","0.23%"
"Mar 29, 2021","1,392.57","1,385.74","1,398.89","1,382.47","2.67B","0.75%"
"Mar 26, 2021","1,382.15","1,409.20","1,412.35","1,359.15","2.95B","-0.88%"
"Mar 25, 2021","1,394.36","1,416.99","1,432.62","1,394.19","3.51B","-1.38%"
"Mar 24, 2021","1,413.86","1,377.37","1,421.93","1,371.72","4.12B","2.64%"
"Mar 23, 2021","1,377.43","1,335.76","1,402.99","1,256.32","5.74B","-0.13%"
"Mar 22, 2021","1,379.25","1,491.99","1,491.99","1,378.56","1.96B","-9.79%"
"Mar 19, 2021","1,528.99","1,548.53","1,553.93","1,511.29","3.19B","-1.41%"
"Mar 18, 2021","1,550.93","1,567.79","1,574.56","1,548.24","3.57B","-0.72%"
"Mar 17, 2021","1,562.11","1,574.78","1,589.47","1,562.11","2.85B","-0.53%"
"Mar 16, 2021","1,570.42","1,561.41","1,572.91","1,557.54","2.17B","0.96%"
"Mar 15, 2021","1,555.47","1,558.78","1,566.39","1,553.49","2.09B","-0.12%"
"Mar 12, 2021","1,557.39","1,558.33","1,561.65","1,549.31","2.62B","0.06%"
"Mar 11, 2021","1,556.49","1,574.58","1,580.03","1,551.88","3.10B","-0.54%"
"Mar 10, 2021","1,564.94","1,551.30","1,565.97","1,551.30","3.00B","1.02%"
"Mar 09, 2021","1,549.15","1,542.04","1,553.23","1,534.99","3.05B","1.23%"
"Mar 08, 2021","1,530.27","1,549.62","1,553.81","1,526.58","3.56B","-0.76%"
"Mar 05, 2021","1,541.98","1,534.40","1,546.08","1,528.47","3.40B","0.26%"
"Mar 04, 2021","1,538.04","1,527.07","1,542.65","1,523.20","3.30B","0.46%"
"Mar 03, 2021","1,531.05","1,538.80","1,553.96","1,526.54","4.18B","0.15%"
"Mar 02, 2021","1,528.82","1,526.36","1,537.46","1,518.51","4.70B","0.09%"
"Mar 01, 2021","1,527.45","1,491.88","1,527.45","1,491.13","3.24B","3.81%"
"Feb 26, 2021","1,471.39","1,457.18","1,480.04","1,443.17","3.71B","-1.13%"
"Feb 25, 2021","1,488.21","1,510.32","1,514.81","1,460.36","4.43B","0.35%"
"Feb 24, 2021","1,483.02","1,506.53","1,523.19","1,483.02","4.25B","-2.30%"
"Feb 23, 2021","1,517.86","1,558.03","1,560.29","1,515.25","5.10B","-2.11%"
"Feb 22, 2021","1,550.61","1,563.08","1,569.84","1,547.49","4.05B","-0.62%"
"Feb 19, 2021","1,560.34","1,551.54","1,567.42","1,550.14","4.24B","0.90%"
"Feb 18, 2021","1,546.41","1,548.04","1,562.83","1,544.22","4.68B","0.38%"
"Feb 17, 2021","1,540.59","1,550.49","1,553.41","1,529.93","5.05B","-0.14%"
"Feb 16, 2021","1,542.82","1,569.12","1,575.70","1,522.08","5.63B","-1.26%"
"Feb 15, 2021","1,562.49","1,551.12","1,565.83","1,547.38","2.96B","1.56%"
"Feb 12, 2021","1,538.44","1,542.50","1,548.69","1,526.72","3.02B","-0.46%"
"Feb 11, 2021","1,545.59","1,548.69","1,558.08","1,543.67","3.34B","-0.10%"
"Feb 10, 2021","1,547.11","1,553.41","1,556.70","1,536.44","3.95B","0.20%"
"Feb 09, 2021","1,544.05","1,538.53","1,551.83","1,535.59","5.43B","0.60%"
"Feb 08, 2021","1,534.91","1,540.22","1,542.44","1,519.00","6.52B","0.51%"
"Feb 05, 2021","1,527.17","1,544.79","1,549.51","1,527.17","3.82B","-0.50%"
"Feb 04, 2021","1,534.90","1,537.65","1,544.63","1,530.82","4.22B","0.09%"
"Feb 03, 2021","1,533.55","1,520.70","1,533.55","1,509.18","5.13B","1.46%"
"Feb 02, 2021","1,511.43","1,505.09","1,517.53","1,500.04","4.77B","1.27%"
"Feb 01, 2021","1,492.45","1,484.86","1,500.88","1,471.54","3.82B","1.29%"
"Jan 29, 2021","1,473.45","1,485.21","1,495.54","1,469.55","4.51B","-1.66%"
"Jan 28, 2021","1,498.32","1,453.37","1,498.43","1,431.32","5.83B","2.13%"
"Jan 27, 2021","1,467.00","1,536.13","1,541.01","1,467.00","5.79B","-4.50%"
"Jan 26, 2021","1,536.11","1,538.03","1,548.61","1,516.81","5.30B","-0.27%"
"Jan 25, 2021","1,540.21","1,556.57","1,560.13","1,536.97","4.81B","-0.15%"
"Jan 22, 2021","1,542.45","1,551.47","1,555.59","1,525.93","4.69B","-0.59%"
"Jan 21, 2021","1,551.57","1,578.03","1,582.04","1,551.57","5.61B","-1.13%"
"Jan 20, 2021","1,569.35","1,573.37","1,574.30","1,552.10","4.56B","0.28%"
"Jan 19, 2021","1,565.01","1,569.56","1,578.30","1,561.02","4.84B","0.53%"
"Jan 18, 2021","1,556.77","1,525.45","1,558.81","1,508.90","4.68B","2.12%"
"Jan 15, 2021","1,524.49","1,536.82","1,547.84","1,516.14","4.76B","-1.43%"
"Jan 14, 2021","1,546.60","1,567.11","1,568.06","1,542.17","4.81B","-0.81%"
"Jan 13, 2021","1,559.28","1,559.77","1,567.88","1,545.26","4.88B","0.63%"
"Jan 12, 2021","1,549.53","1,549.04","1,556.35","1,537.38","5.17B","0.87%"
"Jan 11, 2021","1,536.19","1,539.96","1,557.45","1,522.25","5.41B","-0.29%"
"Jan 08, 2021","1,540.61","1,526.51","1,542.75","1,519.80","5.50B","1.21%"
"Jan 07, 2021","1,522.24","1,511.60","1,522.70","1,505.70","6.18B","1.12%"
"Jan 06, 2021","1,505.42","1,501.61","1,509.49","1,497.09","5.33B","1.06%"
"Jan 05, 2021","1,489.56","1,492.19","1,506.89","1,474.76","6.66B","-0.39%"
"Jan 04, 2021","1,495.43","1,482.17","1,500.01","1,478.70","5.17B","1.27%"
"Dec 31, 2020","1,476.72","1,480.81","1,484.37","1,470.28","3.42B","-0.22%"
"Dec 30, 2020","1,479.91","1,463.07","1,483.16","1,463.07","4.19B","1.39%"
"Dec 29, 2020","1,459.69","1,442.97","1,459.69","1,436.21","3.42B","1.42%"
"Dec 28, 2020","1,439.29","1,431.67","1,442.79","1,431.67","2.98B","0.93%"
"Dec 25, 2020","1,426.03","1,429.07","1,438.49","1,422.71","2.63B","0.00%"
"Dec 24, 2020","1,426.00","1,420.15","1,432.28","1,415.35","5.26B","0.59%"
"Dec 23, 2020","1,417.66","1,409.15","1,420.77","1,409.15","5.13B","0.90%"
"Dec 22, 2020","1,404.97","1,393.57","1,410.82","1,391.69","4.51B","1.48%"
"Dec 21, 2020","1,384.43","1,401.65","1,401.65","1,368.58","5.00B","-1.70%"
"Dec 18, 2020","1,408.32","1,398.26","1,410.32","1,396.03","4.46B","0.64%"
"Dec 17, 2020","1,399.36","1,403.10","1,406.10","1,392.47","4.45B","0.50%"
"Dec 16, 2020","1,392.45","1,404.25","1,409.78","1,384.98","5.02B","-0.21%"
"Dec 15, 2020","1,395.40","1,392.74","1,399.86","1,385.19","5.28B","0.49%"
"Dec 14, 2020","1,388.55","1,378.19","1,394.58","1,378.19","4.63B","1.30%"
"Dec 11, 2020","1,370.70","1,351.84","1,371.00","1,342.58","5.15B","1.28%"
"Dec 10, 2020","1,353.36","1,353.39","1,366.78","1,346.52","5.90B","0.23%"
"Dec 09, 2020","1,350.32","1,342.42","1,360.63","1,342.42","5.51B","0.78%"
"Dec 08, 2020","1,339.89","1,331.63","1,348.30","1,331.63","5.31B","0.75%"
"Dec 07, 2020","1,329.90","1,329.96","1,336.68","1,326.13","4.88B","-0.07%"
"Dec 04, 2020","1,330.87","1,331.62","1,337.88","1,326.20","5.30B","0.00%"
"Dec 03, 2020","1,330.85","1,327.62","1,335.77","1,315.52","5.74B","0.40%"
"Dec 02, 2020","1,325.49","1,326.76","1,338.95","1,318.39","4.57B","0.02%"
"Dec 01, 2020","1,325.29","1,302.25","1,325.29","1,287.62","4.61B","3.25%"
"Nov 30, 2020","1,283.58","1,314.43","1,316.52","1,283.58","5.12B","-3.40%"
"Nov 27, 2020","1,328.73","1,348.47","1,351.65","1,324.72","5.61B","-1.02%"
"Nov 26, 2020","1,342.49","1,334.67","1,343.93","1,326.06","4.25B","1.28%"
"Nov 25, 2020","1,325.47","1,330.07","1,341.91","1,323.42","5.58B","0.34%"
"Nov 24, 2020","1,320.98","1,323.16","1,334.26","1,308.69","6.99B","0.51%"
"Nov 23, 2020","1,314.25","1,329.29","1,336.14","1,299.27","5.84B","-0.73%"
"Nov 20, 2020","1,323.95","1,315.69","1,328.33","1,315.59","4.81B","0.83%"
"Nov 19, 2020","1,313.02","1,293.73","1,325.70","1,277.69","9.46B","1.41%"
